feature,importance
serving,0.3642022113199618
john mccain,0.3639885522861435
reparation,0.36367800447518595
state police,0.3635049902146368
arm,0.3633772611062439
rule trump,0.36336817554564016
mubarak,0.36313653162718074
border wall,0.3630010886375795
muslim refugee,0.3623153934979249
private sector,0.36220333276584504
self described,0.36156537340531386
reuters news,0.3614421866717422
benghazi,0.36130917360427417
denying,0.3610344996489249
shooting,0.3610330846495352
interesting,0.3602995833081461
rnc,0.3600634887457316
store,0.35997865501879295
want,0.3594835836372452
robertson,0.3594447326672675
utah,0.3592897260448908
hmmm,0.35926097267127244
pb,0.3592142359108773
supposedly,0.3590252153026881
yahoo news,0.35892585118836995
right vote,0.3588065392270113
individual,0.3587177875669455
enable,0.35868952591269865
castro said,0.35830546372479394
hussein,0.35821136207277576
swedish,0.35814027562468187
think make,0.3581078018041449
mind,0.35807225245218294
hysterical,0.3580442583433208
senate minority,0.35802879854812647
speak english,0.3579962481854482
schedule,0.3577099566440339
unless want,0.3576209091926233
irony,0.35740676760661944
pool getty,0.35691343914630286
iran deal,0.35689669465495155
barack hussein,0.3566026574994708
collins,0.3564797119794011
year build,0.35644284730550463
uranium,0.3563588905621769
rich,0.3563318348028875
http youtu,0.3562630018335158
supreme court,0.3561569723056001
presidential debate,0.3555036640740471
secretary state,0.35548330921157406
lied,0.35527898045800016
economic migrant,0.35518540696118694
loretta lynch,0.35500765687938557
mrny,0.3546641331378277
muslim mayor,0.3546389374252088
american taxpayer,0.35459658525307153
yates,0.354169644683671
mp,0.35400610608859234
ng,0.3539793330672293
usda,0.35381673024231775
barry,0.3538156799294139
youtu,0.35369205604149
raping,0.3536837449481919
carlson,0.35367176411067797
reality,0.35366661718077425
beau,0.35365297019389674
good idea,0.35362325395932664
registration,0.35350146078536865
compact,0.3533601870992923
track,0.35332422382240863
climate change,0.35317847934661856
geller,0.3530027563484358
nfl,0.35295820048144294
christmas,0.35277920787346884
bunch,0.35231639547055504
replacement,0.3522743432495759
critical infrastructure,0.3522734034237611
video remember,0.35123354737087353
state rep,0.35101360001004245
statue,0.3509689069138133
initiated,0.35072996017982544
moment,0.35062026854761147
slated,0.3500190518741006
intent,0.3498078593191865
arizona said,0.34972753187927336
dumb,0.3497071895885959
frontrunner,0.34948511595771137
suppression,0.34929696207080535
meat,0.34909573261443944
chooses,0.34894241751301924
award,0.34889881519800225
claiming,0.3485912808419756
jill stein,0.34828261263781546
conscience,0.3481186029796276
black life,0.3480805650806344
freedom,0.347882536556544
open society,0.34786252784816574
said entire,0.3478417074216168
revelation,0.34778573432178034
newly,0.3473330989169185
consistently,0.3472454194291329
federal law,0.34671146453852386
wealth,0.34662171736000796
american diplomat,0.3466097635936463
sharia law,0.3463622325037531
year later,0.34600097720252165
police officer,0.3458759918633229
splc,0.3458524915434058
cleaning,0.3458411699710072
incredibly,0.34534649560198494
separation,0.34529764064114793
cave,0.3452976257258811
said right,0.34516688170540116
wrong,0.3451259933408224
patrolling,0.34507844913574254
socialism,0.3449917568024822
check,0.34498577842783446
staffer,0.3444266676580056
redskin,0.34408642546658613
rant,0.3437879853392235
eac,0.34367317378706513
recount,0.3436339970545543
strike group,0.343565029192062
attempted,0.34351518667653874
fusion,0.34343772953524787
voter fraud,0.3428828983544688
exclusively,0.3428038993082601
bundy,0.34280206050437523
running,0.3427527643039914
unfortunately,0.3423557453049896
purchased,0.34225306562863134
amtrak,0.34211674440942674
teacher,0.3420174317081344
apology,0.3419296114465311
foxnews com,0.34174432564892826
cabinet position,0.3415565374503443
diversity,0.34148744503337003
yuge,0.3411937828018516
rioter,0.34112283762565254
nuclear option,0.340327025647075
war ii,0.34028589934006565
hand,0.34012257191933093
circumstance,0.33997376294604564
october,0.33978392278949643
radar,0.33978213361023035
trump today,0.3397004937987311
trip,0.3394031092926964
burka,0.3392060334676887
macy,0.33917753109509347
leslie,0.3391662411396219
sanctuary,0.3389271457775038
cadet,0.3387337544600452
cair,0.3385729334119578
trouble,0.33853114644236837
anti,0.3384225053167578
delaware,0.33836628043641825
gsa,0.33833466268661083
special,0.3381901290136729
refugee crisis,0.33814617315085693
setup,0.3379093004744983
food stamp,0.33786499394594693
unless,0.3378368639892379
chain migration,0.33775975986393714
loretta,0.33769245768660744
breaking trump,0.3375573260918587
extra,0.3373446170482081
tillerson remark,0.3370829536679356
liner,0.33665164981965656
voter registration,0.33651713294216695
shocked,0.33649072844029765
leary,0.3364278108245475
awful,0.33624363075140995
guest,0.3362167268495078
agent,0.3361913887640557
carbon,0.3360637988260957
national anthem,0.3359461609623918
aclu,0.3356922477235655
month month,0.3354897965011482
ranbaxy,0.3354111346956495
restaurant,0.33534137614613285
tucker carlson,0.3352342669699972
katie,0.33508430754184254
knife,0.3348514590950153
communist country,0.33460165041047496
extent,0.33443055107234254
afloat,0.3343955638722737
walmart,0.334100096086932
feel,0.33406951634551113
cold war,0.3339947590314324
wait,0.3339522292262704
norway,0.33393819776328876
read wt,0.33387273655025695
drunk,0.3336241026001111
pamela,0.33354461821394205
mongering,0.3334868635515137
anymore,0.33335741179636275
miami herald,0.33329168084334254
county,0.33280695250062114
huffington post,0.3326277729476029
lead exposure,0.3325260100309517
surgery,0.3321418879070044
weasel zipper,0.33186878814280785
braverman,0.33159659193769925
state florida,0.33150623200888113
brings,0.3314211522774622
continue story,0.3312854314134129
anti trump,0.33127261265263
country voted,0.33127015113705605
chalupa,0.3310882177641012
presidential campaign,0.33107458821276586
republic korea,0.3308722913024807
peaceful,0.33062655079930636
politician,0.33060835386311077
sad,0.33057443836540523
subscribe,0.33039897818486696
forth,0.3303903850999825
need,0.33032069956842103
code,0.3302983101412698
home country,0.3301695051273108
zipper,0.3299453436151939
missile technology,0.3297573113912034
said officer,0.3297564467085072
ann,0.32972466181437216
collins said,0.329723218143277
absolutely,0.3290060494326941
confirming,0.32896669462978145
busted,0.3288102818257272
number,0.32876548322047533
lying,0.32858655156792904
blue state,0.32857029015007133
furthermore,0.3284902794772995
stabbing,0.328465187092529
department state,0.32839281159529143
commander chief,0.3282184561067981
reelection,0.32812629129967624
make clear,0.3279656973948105
wire subscribe,0.32790350957757336
map,0.32786773155550164
network,0.3276881175988705
appointed,0.3275495492409651
ok,0.3274006784449499
welcome,0.3273257330314745
colleague,0.32689016527084747
ab,0.32681608275861807
answer,0.32672652159150867
enters,0.3267218802898164
palm,0.3265866535570336
large scale,0.32629450475881316
school board,0.3262928843485856
miss universe,0.3261921984534071
slippery,0.3261636786589981
idiot,0.3260970131695042
concrete evidence,0.32605757896955023
gotta,0.3260473065869372
longer,0.3260378068779144
consists,0.3259455736243305
said left,0.32593006976968375
trump treatment,0.3257618115695054
explain,0.32575791942952964
page,0.3255406678931376
subscribe member,0.32547651321786203
vote,0.3252735431867538
facebook,0.3251231227214627
uk,0.3250695249903556
reason believe,0.32502829954600415
surprised,0.3250240679882716
innocent,0.3250112831831651
negative impact,0.3246954182420994
cozy,0.32460609898350856
yeah,0.32455130992610054
right work,0.32454070781039895
toensing,0.32442786269670715
excessive,0.32442772738102404
beating,0.3243962898686468
orange,0.3243835219615594
behalf,0.32421117993722853
bloated,0.3237715897837051
landmark nuclear,0.323611504940468
counterfeiting,0.32354976338114655
story washington,0.32325183179389205
az,0.3230711890678621
steinle,0.32297260327131305
free speech,0.32285861909241875
mr obama,0.32285477410283886
trump voter,0.32279161297832776
stop,0.322318309190104
brilliant,0.3221557156760764
scott walker,0.32195016263767845
merely,0.32189072865537316
tax dollar,0.32173001143728897
fault,0.3215670812684638
murdered,0.32155643942858453
lansing,0.32154187073565427
rock,0.32147412839518574
hannity,0.3214628171212353
deployed,0.3213728730453334
washington free,0.32125244906955314
san diego,0.32124265608959063
robert,0.32103150900287725
intercontinental,0.32082481350661346
express uk,0.32081521162247223
ironic,0.32072396828170846
greater,0.32070440470863587
ruth,0.3205163573291686
wayne,0.32036029437424685
rush,0.320147535826396
caucus,0.3199867286901691
rogue,0.3198720769840047
present,0.31981998087993607
ipsos,0.31981104495995893
hb,0.31955810699303094
corner,0.319462106222321
took year,0.3193409080531608
johnson said,0.31916491223717025
horrible,0.3191441266967808
beacon,0.31914126166267975
lawlessness,0.3189274620074986
housing,0.3188556252546338
beau biden,0.318852769965662
rapist,0.318757537072113
wisconsin,0.31869592329019886
hack,0.3186062218991129
live feed,0.3184977749797511
offensive,0.3183597915565704
bombshell,0.3182292292176938
suicide,0.3182062142541624
group like,0.31814590270577225
icann,0.3179090111716281
tyrannical,0.3178670827991863
experiment,0.31761733617522003
terrifying,0.31757561428744513
democrat senator,0.31753420410254035
beat,0.31741904274796245
graduation,0.31689799684680886
pillow,0.3165429896457167
president united,0.3162759629301539
hateful,0.3162117327241563
officially,0.31614073407941456
